method,image_name,full_path,method_path,lpips_vs_full,ms_ssim_vs_full
tome,class_0639_seed0_a_photo_of_a_maillot_tank_suit.png,generated/tome/class_0639_seed0_a_photo_of_a_maillot_tank_suit.png,generated/tome/class_0639_seed0_a_photo_of_a_maillot_tank_suit.png,0.6637797951698303,0.37180376052856445
tome,class_0639_seed1_a_photo_of_a_maillot_tank_suit.png,generated/tome/class_0639_seed1_a_photo_of_a_maillot_tank_suit.png,generated/tome/class_0639_seed1_a_photo_of_a_maillot_tank_suit.png,0.39068153500556946,0.7013423442840576
tome,class_0640_seed0_a_photo_of_a_manhole_cover.png,generated/tome/class_0640_seed0_a_photo_of_a_manhole_cover.png,generated/tome/class_0640_seed0_a_photo_of_a_manhole_cover.png,0.38957393169403076,0.6243717074394226
tome,class_0640_seed1_a_photo_of_a_manhole_cover.png,generated/tome/class_0640_seed1_a_photo_of_a_manhole_cover.png,generated/tome/class_0640_seed1_a_photo_of_a_manhole_cover.png,0.472747802734375,0.4450589120388031
tome,class_0641_seed0_a_photo_of_a_maraca.png,generated/tome/class_0641_seed0_a_photo_of_a_maraca.png,generated/tome/class_0641_seed0_a_photo_of_a_maraca.png,0.2780819833278656,0.8248376846313477
tome,class_0641_seed1_a_photo_of_a_maraca.png,generated/tome/class_0641_seed1_a_photo_of_a_maraca.png,generated/tome/class_0641_seed1_a_photo_of_a_maraca.png,0.5216447710990906,0.6055400371551514
tome,class_0642_seed0_a_photo_of_a_marimba.png,generated/tome/class_0642_seed0_a_photo_of_a_marimba.png,generated/tome/class_0642_seed0_a_photo_of_a_marimba.png,0.5462793111801147,0.44939252734184265
tome,class_0642_seed1_a_photo_of_a_marimba.png,generated/tome/class_0642_seed1_a_photo_of_a_marimba.png,generated/tome/class_0642_seed1_a_photo_of_a_marimba.png,0.3777463138103485,0.7163567543029785
tome,class_0643_seed0_a_photo_of_a_mask.png,generated/tome/class_0643_seed0_a_photo_of_a_mask.png,generated/tome/class_0643_seed0_a_photo_of_a_mask.png,0.291165828704834,0.7502220869064331
tome,class_0643_seed1_a_photo_of_a_mask.png,generated/tome/class_0643_seed1_a_photo_of_a_mask.png,generated/tome/class_0643_seed1_a_photo_of_a_mask.png,0.1638604700565338,0.870019793510437
