image_name,lpips_diff_tome_minus_ours,msssim_diff_ours_minus_tome,tome_lpips,ours_lpips,tome_msssim,ours_msssim
class_0742_seed1_a_photo_of_a_printer.png,0.024873077869415283,0.023873746395111084,0.34731295704841614,0.32243987917900085,0.6930210590362549,0.716894805431366
class_0184_seed0_a_photo_of_a_Irish_terrier.png,0.02485346794128418,0.030499935150146484,0.23443540930747986,0.20958194136619568,0.7895781993865967,0.8200781345367432
class_0865_seed1_a_photo_of_a_toyshop.png,0.024714410305023193,0.011849761009216309,0.3500051498413086,0.3252907395362854,0.6532720327377319,0.6651217937469482
class_0593_seed1_a_photo_of_a_harmonica.png,0.024340271949768066,0.017105281352996826,0.38880258798599243,0.36446231603622437,0.6645519733428955,0.6816572546958923
class_0760_seed1_a_photo_of_a_refrigerator.png,0.024310708045959473,0.014911949634552002,0.45284903049468994,0.42853832244873047,0.6453789472579956,0.6602908968925476
class_0969_seed1_a_photo_of_a_eggnog.png,0.02404838800430298,0.019125163555145264,0.36834996938705444,0.34430158138275146,0.6747590899467468,0.6938842535018921
class_0499_seed1_a_photo_of_a_cleaver.png,0.023817241191864014,0.02168571949005127,0.6768139004707336,0.6529966592788696,0.470168799161911,0.4918545186519623
class_0632_seed1_a_photo_of_a_loudspeaker.png,0.023754119873046875,0.06372570991516113,0.3865140974521637,0.3627599775791168,0.5051205158233643,0.5688462257385254
class_0593_seed0_a_photo_of_a_harmonica.png,0.02373480796813965,0.017408370971679688,0.6179749965667725,0.5942401885986328,0.337222695350647,0.35463106632232666
class_0851_seed1_a_photo_of_a_television.png,0.023713231086730957,-0.0031928420066833496,0.4501469135284424,0.4264336824417114,0.606512188911438,0.6033193469047546
class_0264_seed1_a_photo_of_a_Cardigan.png,0.02360665798187256,0.0023720264434814453,0.5103792548179626,0.4867725968360901,0.4016440808773041,0.4040161073207855
class_0038_seed1_a_photo_of_a_banded_gecko.png,0.02332383394241333,0.0212705135345459,0.45543932914733887,0.43211549520492554,0.5180739164352417,0.5393444299697876
class_0626_seed0_a_photo_of_a_lighter.png,0.023318350315093994,0.014627575874328613,0.1702815443277359,0.1469631940126419,0.8674172163009644,0.882044792175293
class_0685_seed1_a_photo_of_a_odometer.png,0.02325853705406189,0.013464927673339844,0.33576729893684387,0.312508761882782,0.6533991694450378,0.6668640971183777
class_0611_seed1_a_photo_of_a_jigsaw_puzzle.png,0.023220360279083252,0.04448115825653076,0.661439061164856,0.6382187008857727,0.14476804435253143,0.1892492026090622
class_0610_seed0_a_photo_of_a_jersey.png,0.023142337799072266,0.02376413345336914,0.45195895433425903,0.42881661653518677,0.6014470458030701,0.6252111792564392
class_0020_seed0_a_photo_of_a_water_ouzel.png,0.022845447063446045,0.006018221378326416,0.4976379871368408,0.4747925400733948,0.6281207799911499,0.6341390013694763
class_0894_seed1_a_photo_of_a_wardrobe.png,0.0227956622838974,0.0011213421821594238,0.21784625947475433,0.19505059719085693,0.8437529802322388,0.8448743224143982
class_0116_seed1_a_photo_of_a_chiton.png,0.02278926968574524,0.007536113262176514,0.4520910084247589,0.42930173873901367,0.6080494523048401,0.6155855655670166
class_0475_seed1_a_photo_of_a_car_mirror.png,0.022760719060897827,0.003120601177215576,0.16964614391326904,0.14688542485237122,0.8580241203308105,0.8611447215080261
class_0634_seed1_a_photo_of_a_lumbermill.png,0.022594928741455078,0.022682875394821167,0.5383225083351135,0.5157275795936584,0.44546088576316833,0.4681437611579895
class_0126_seed1_a_photo_of_a_isopod.png,0.02259010076522827,0.007061958312988281,0.42742621898651123,0.40483611822128296,0.5783460140228271,0.5854079723358154
class_0392_seed0_a_photo_of_a_rock_beauty.png,0.022465020418167114,0.031899452209472656,0.4430720806121826,0.4206070601940155,0.5966296195983887,0.6285290718078613
class_0389_seed0_a_photo_of_a_barracouta.png,0.02240133285522461,0.004095405340194702,0.6643041968345642,0.6419028639793396,0.37516045570373535,0.37925586104393005
class_0162_seed0_a_photo_of_a_beagle.png,0.022336572408676147,0.032182157039642334,0.20221778750419617,0.17988121509552002,0.8205821514129639,0.8527643084526062
class_0843_seed0_a_photo_of_a_swing.png,0.02223062515258789,0.008513450622558594,0.37500083446502686,0.35277020931243896,0.6859291791915894,0.694442629814148
class_0991_seed0_a_photo_of_a_coral_fungus.png,0.021734505891799927,0.01746898889541626,0.38611721992492676,0.36438271403312683,0.6788908839225769,0.6963598728179932
class_0426_seed1_a_photo_of_a_barometer.png,0.02146226167678833,0.011347651481628418,0.29397690296173096,0.2725146412849426,0.6851862668991089,0.6965339183807373
class_0153_seed0_a_photo_of_a_Maltese_dog.png,0.02137148380279541,0.020885467529296875,0.28248801827430725,0.26111653447151184,0.8269228935241699,0.8478083610534668
class_0038_seed0_a_photo_of_a_banded_gecko.png,0.02132675051689148,0.037652790546417236,0.47552570700645447,0.454198956489563,0.5037106871604919,0.5413634777069092
class_0415_seed1_a_photo_of_a_bakery.png,0.02104628086090088,0.014610201120376587,0.5946293473243713,0.5735830664634705,0.30022817850112915,0.31483837962150574
class_0787_seed0_a_photo_of_a_shield.png,0.021043702960014343,0.024556279182434082,0.17515669763088226,0.15411299467086792,0.8553650379180908,0.8799213171005249
class_0515_seed0_a_photo_of_a_cowboy_hat.png,0.020955920219421387,0.015021800994873047,0.14669132232666016,0.12573540210723877,0.8903149366378784,0.9053367376327515
class_0071_seed0_a_photo_of_a_scorpion.png,0.020845472812652588,0.017759233713150024,0.5988526940345764,0.5780072212219238,0.4260905683040619,0.4438498020172119
